lat,lon,alt
32.869549,-117.220485,95.3
32.869548,-117.220484,95.3
32.869545,-117.220481,95.3
32.869553,-117.220489,95.4
32.869557,-117.220493,95.5
32.869557,-117.220493,95.5
32.869557,-117.220492,95.6
32.869557,-117.220492,95.7
32.869558,-117.220492,95.7
32.869558,-117.220492,95.8
32.869558,-117.220492,95.8
32.869557,-117.220491,95.8
32.869557,-117.220489,95.9
32.869557,-117.220489,96.0
32.869558,-117.220488,96.1
32.869558,-117.220488,96.2
32.869558,-117.220488,96.2
32.869558,-117.220487,96.2
32.869558,-117.220486,96.1
32.869558,-117.220484,96.1
32.869557,-117.220484,96.1
32.869557,-117.220483,96.1
32.869557,-117.220483,96.2
32.869556,-117.220482,96.1
32.869556,-117.22048,96.1
32.869555,-117.220479,96.1
32.869555,-117.220479,96.1
32.869554,-117.220478,96.1
32.869554,-117.220477,96.1
32.869554,-117.220476,96.0
32.869553,-117.220475,96.0
32.869552,-117.220474,95.9
32.869552,-117.220473,95.9
32.869551,-117.220473,95.8
32.869551,-117.220472,95.8
32.86955,-117.220471,95.8
32.86955,-117.22047,95.7
32.869549,-117.220468,95.6
32.869549,-117.220467,95.6
32.869549,-117.220467,95.5
32.869549,-117.220467,95.5
32.869551,-117.220467,95.5
32.869552,-117.220467,95.5
32.869553,-117.220468,95.6
32.869555,-117.220469,95.6
32.869556,-117.22047,95.6
32.869557,-117.220471,95.6
32.869557,-117.220472,95.6
32.869558,-117.220474,95.6
32.869558,-117.220474,95.6
32.869559,-117.220476,95.7
32.869559,-117.220477,95.7
