lat=32.869538,lon=-117.220466,alt=98.2
lat=32.869540,lon=-117.220469,alt=98.3
lat=32.869548,lon=-117.220483,alt=98.4
lat=32.869549,lon=-117.220486,alt=98.3
lat=32.869551,lon=-117.220488,alt=98.3
lat=32.869553,lon=-117.220491,alt=98.3
lat=32.869555,lon=-117.220494,alt=98.3
lat=32.869556,lon=-117.220495,alt=98.2
lat=32.869557,lon=-117.220496,alt=98.2
lat=32.869558,lon=-117.220497,alt=98.2
lat=32.869559,lon=-117.220497,alt=98.2
lat=32.869560,lon=-117.220497,alt=98.2
lat=32.869560,lon=-117.220497,alt=98.3
lat=32.869561,lon=-117.220497,alt=98.2
lat=32.869561,lon=-117.220497,alt=98.3
lat=32.869561,lon=-117.220497,alt=98.3
lat=32.869562,lon=-117.220497,alt=98.2
lat=32.869563,lon=-117.220497,alt=98.2
lat=32.869563,lon=-117.220498,alt=98.2
lat=32.869564,lon=-117.220499,alt=98.2
lat=32.869564,lon=-117.220499,alt=98.2
lat=32.869565,lon=-117.220501,alt=98.2
lat=32.869566,lon=-117.220503,alt=97.4
lat=32.869567,lon=-117.220502,alt=96.9
lat=32.869568,lon=-117.220501,alt=96.8
lat=32.869568,lon=-117.220498,alt=96.6
lat=32.869570,lon=-117.220494,alt=96.5
lat=32.869572,lon=-117.220491,alt=96.3
lat=32.869573,lon=-117.220490,alt=96.3
lat=32.869573,lon=-117.220488,alt=96.2
lat=32.869573,lon=-117.220487,alt=96.2
lat=32.869572,lon=-117.220485,alt=96.1
lat=32.869572,lon=-117.220484,alt=96.1
lat=32.869571,lon=-117.220483,alt=96.0
lat=32.869570,lon=-117.220482,alt=96.0
lat=32.869569,lon=-117.220482,alt=96.1
lat=32.869569,lon=-117.220482,alt=96.1
lat=32.869568,lon=-117.220482,alt=96.1
lat=32.869567,lon=-117.220482,alt=96.1
lat=32.869566,lon=-117.220481,alt=96.1
lat=32.869566,lon=-117.220481,alt=96.1
lat=32.869565,lon=-117.220480,alt=96.0
lat=32.869564,lon=-117.220480,alt=96.0
lat=32.869563,lon=-117.220480,alt=95.9
lat=32.869561,lon=-117.220479,alt=95.9
lat=32.869560,lon=-117.220479,alt=95.8
lat=32.869560,lon=-117.220479,alt=95.7
lat=32.869559,lon=-117.220479,alt=95.6
lat=32.869560,lon=-117.220479,alt=95.6
lat=32.869558,lon=-117.220479,alt=95.6
lat=32.869557,lon=-117.220478,alt=95.6
lat=32.869557,lon=-117.220478,alt=95.5
lat=32.869558,lon=-117.220478,alt=95.5
lat=32.869558,lon=-117.220479,alt=95.5
lat=32.869560,lon=-117.220480,alt=95.5
lat=32.869560,lon=-117.220480,alt=95.6
